trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.001, 'e': 0.9919463335341185}",20,0,-83.33715295159637,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
128,False,"{'a': 0.001, 'e': 0.9918191787040556}",25,15,-16.73809431891787,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.001, 'e': 0.9916910320548965}",20,0,-44.7167362185314,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
130,False,"{'a': 0.001, 'e': 0.9915618937147881}",25,9,-101.07847941805903,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
131,False,"{'a': 0.001, 'e': 0.9914317638128685}",30,0,-119.92247421680617,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
132,False,"{'a': 0.001, 'e': 0.9913006424792677}",25,0,-164.1337120599738,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
133,False,"{'a': 0.001, 'e': 0.9911685298451072}",20,0,-32.92134415782043,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
134,False,"{'a': 0.001, 'e': 0.9910354260424993}",20,1,-74.58875763343165,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 0}",1
135,False,"{'a': 0.001, 'e': 0.9909013312045479}",25,0,-112.82014914904278,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
136,False,"{'a': 0.001, 'e': 0.990766245465348}",20,0,-110.53351004308865,"{0: 10, 1: 4, 2: 2, 3: 4, 4: 0}",0
137,False,"{'a': 0.001, 'e': 0.9906301689599851}",20,0,-124.0369703006259,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
138,False,"{'a': 0.001, 'e': 0.9904931018245359}",30,0,-146.5043828197043,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
139,False,"{'a': 0.001, 'e': 0.9903550441960673}",30,0,-139.35737707597917,"{0: 17, 1: 1, 2: 9, 3: 3, 4: 0}",0
140,False,"{'a': 0.001, 'e': 0.9902159962126371}",20,0,-66.22343958565362,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
141,False,"{'a': 0.001, 'e': 0.9900759580132933}",20,0,-61.526855843125446,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
142,False,"{'a': 0.001, 'e': 0.9899349297380738}",25,0,-161.27584623965564,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
143,False,"{'a': 0.001, 'e': 0.9897929115280072}",25,16,-53.342335160111666,"{0: 5, 1: 0, 2: 2, 3: 2, 4: 0}",1
144,False,"{'a': 0.001, 'e': 0.9896499035251115}",20,6,-83.26841607363858,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
145,False,"{'a': 0.001, 'e': 0.9895059058723947}",20,14,-5.115835346258489,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.001, 'e': 0.9893609187138546}",20,0,-72.78577626664874,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
147,False,"{'a': 0.001, 'e': 0.9892149421944781}",25,0,-138.7903347644623,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
148,False,"{'a': 0.001, 'e': 0.989067976460242}",20,0,-144.41832045419815,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
149,False,"{'a': 0.001, 'e': 0.9889200216581118}",20,0,-134.88837533894736,"{0: 12, 1: 0, 2: 3, 3: 4, 4: 1}",0
150,False,"{'a': 0.001, 'e': 0.9887710779360422}",20,0,-164.37087453105127,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
151,False,"{'a': 0.001, 'e': 0.9886211454429773}",20,0,-90.01526811471739,"{0: 8, 1: 4, 2: 8, 3: 0, 4: 0}",0
152,False,"{'a': 0.001, 'e': 0.9884702243288492}",20,0,-143.92489693362924,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
153,False,"{'a': 0.001, 'e': 0.9883183147445792}",25,0,-116.05846091174733,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
154,False,"{'a': 0.001, 'e': 0.9881654168420767}",20,0,-82.94347798422707,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
155,False,"{'a': 0.001, 'e': 0.9880115307742399}",25,0,-212.1069529801814,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 4}",0
156,False,"{'a': 0.001, 'e': 0.9878566566949545}",25,0,-92.07268412649238,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
157,False,"{'a': 0.001, 'e': 0.9877007947590948}",25,0,-103.79344114191447,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
158,False,"{'a': 0.001, 'e': 0.9875439451225226}",25,0,-219.66007254367562,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 3}",0
159,False,"{'a': 0.001, 'e': 0.9873861079420876}",30,9,-218.03121660788602,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 4}",1
160,False,"{'a': 0.001, 'e': 0.9872272833756269}",25,4,-41.81010185795547,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 0}",1
161,False,"{'a': 0.001, 'e': 0.9870674715819652}",30,0,-191.4430426250742,"{0: 15, 1: 7, 2: 4, 3: 1, 4: 3}",0
162,False,"{'a': 0.001, 'e': 0.986906672720914}",25,0,-212.92620524350204,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
163,False,"{'a': 0.001, 'e': 0.9867448869532726}",30,0,-257.51816810186983,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 5}",0
164,False,"{'a': 0.001, 'e': 0.9865821144408262}",20,0,-136.54934266786915,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
165,False,"{'a': 0.001, 'e': 0.9864183553463477}",20,1,-36.03998781896462,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
166,False,"{'a': 0.001, 'e': 0.986253609833596}",20,0,-34.1793771264559,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
167,False,"{'a': 0.001, 'e': 0.9860878780673167}",25,0,-108.17238399755841,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
168,False,"{'a': 0.001, 'e': 0.9859211602132415}",20,0,-63.184525489712264,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
169,False,"{'a': 0.001, 'e': 0.9857534564380882}",20,1,-90.23049067190581,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 1}",1
170,False,"{'a': 0.001, 'e': 0.9855847669095608}",25,0,-51.335399846616035,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
171,False,"{'a': 0.001, 'e': 0.9854150917963483}",30,8,-14.794359533044588,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.001, 'e': 0.9852444312681263}",30,0,-109.21896666638564,"{0: 17, 1: 2, 2: 10, 3: 1, 4: 0}",0
173,False,"{'a': 0.001, 'e': 0.9850727854955552}",25,0,-107.82247410102312,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
174,False,"{'a': 0.001, 'e': 0.9849001546502806}",25,0,-172.87241385502267,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
175,False,"{'a': 0.001, 'e': 0.9847265389049334}",20,3,-98.44474914721414,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 1}",1
176,False,"{'a': 0.001, 'e': 0.9845519384331295}",25,0,-179.94028060652101,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
177,False,"{'a': 0.001, 'e': 0.984376353409469}",20,0,-78.83790323792134,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
178,False,"{'a': 0.001, 'e': 0.9841997840095373}",20,0,-61.41177613591611,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
179,False,"{'a': 0.001, 'e': 0.9840222304099036}",25,0,-73.84876583042967,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
180,False,"{'a': 0.001, 'e': 0.9838436927881214}",25,0,-145.96486459270858,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
181,False,"{'a': 0.001, 'e': 0.9836641713227284}",35,0,-193.40034762751722,"{0: 18, 1: 6, 2: 7, 3: 2, 4: 2}",0
182,False,"{'a': 0.001, 'e': 0.9834836661932461}",30,7,-149.62666710044982,"{0: 11, 1: 2, 2: 6, 3: 3, 4: 1}",1
