trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.01, 'e': 0.689498432951747}",20,0,-61.4444996132214,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",20,12,-61.73850889267562,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.674875760071267}",20,0,-31.720475103104423,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",25,11,-19.14104909158784,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",30,22,13.115720317576898,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-50.53885144127443,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-107.59593760250618,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,9,-32.464783680148415,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-75.46513766389705,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,0,-138.64447469382623,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-159.69587533083632,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",30,2,-54.411007538830205,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",30,3,-120.59730493052885,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 2}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",30,6,-184.40874913900427,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 4}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,11,-25.43852694652846,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,4.075355905020497,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,11,-5.678391605811789,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,0,-179.7160660640719,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,0,-31.627400789505213,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681397}",20,12,1.2509652386766221,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",35,26,14.820365217506911,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,16,4.462941967314147,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,16,-3.6425373399768652,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,14,-40.455733792869076,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,5,-46.88351695090014,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,0,-43.98652864269811,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",25,12,20.28034477941269,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,10,-18.044426131430185,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,13,-6.358657578071285,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,8,-20.978349384769388,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",25,10,26.251451001948602,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,0,-13.812673584300004,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,6,-23.397235440568952,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",35,20,-27.4122595870214,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",30,0,-62.41671149955184,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,2,20.556332995439636,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,9,-1.7706097394723865,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",25,0,-41.67313173198539,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,8,-16.151115508968733,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,7,-35.6063066296337,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,12,-1.4024891150047456,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,6,3.9053433462530958,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,7,11.410890979173349,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,0,-104.18257122403824,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,17,17.827537055840835,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",25,8,-9.221139778988771,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,11,-1.9692839234726716,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",20,2,-4.103989773351989,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,0,-24.337164098423795,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,0,11.076069396496797,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,2,28.375311732166985,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,0,-4.344323114094463,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,10,10.699188892545676,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",35,28,13.577661446673993,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,12,-26.975809637809107,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,13,4.210216948585758,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
